English Word,Part of Speech,Odia Translation
 fastening flowers , Noun ," ପୁର୍ଗା କୁର୍ସା, କାସାନାଦ୍‌ "
 fasting , Noun ," ଉପାସାମ୍‌, ଆୟ AE, ପ୍ରାର୍ତାନା ତୁଙ୍ଗାନାଦ୍‌ "
 fat baby , Adjective , IQ A AMI dal 
 fat man , Noun , ଲାୱ୍‌ମାନ୍ଦାନ୍‌ ନାରୁଣ୍ତ 
 fate , Verb , ଆଦିର୍‌ ଶ୍ଟାମ୍‌ 
 father , Noun ," ବାବାଲ୍‌, ଭୟା "
 father-in-law , Unknown , ମାମାଲ୍‌ 
 father with more children , Noun , AQ ପୀଦ୍‌ ପିଲ୍‌ ଲାନୋଣ୍ଟ 
 father's brother , Noun ," ବାବାଲ୍‌, ଭୟାଲ୍‌ "
 father's elder brother , Noun , ପେପୁ 
 father's father , Noun , ଦାଦ 
" fatigue, exhaustion ", Noun , Ula @ ଆନ୍ଦାନାଦ୍‌ 
 fault , Noun ," ତାପ୍‌ Q, 9m, ନେରାମ୍‌, ନାଶ୍‌ "
 favour , Noun ," ଦାୟାମ୍‌, ସାୟାମ୍‌ "
 fear , Noun ," ।୮୮. QIANG, ସ୍ତେର୍ଦାନାଦ୍‌ "
 feast , Noun , ବୋଜି 
 feast line , Noun , ବାନ୍ତ୍‌ 
 feather , Noun , କର୍ରୁଗେରୁମ୍‌ 
" feeding, to make to eat ", Transitive verb ," ତିପିସାନାଦ୍‌, ତୀଭାନାଦ୍‌ "
 feel bad , Adjective , @14l ପୀଡ଼ୋ-ପୀନ୍ଦୋ 
 feel better , Adjective ," IQ ଆତ୍, ନାଲାମିନ୍ଦାନ୍‌ "
 feel so hot , Adjective ," କାଙ୍କା AQ ଭ୍ତା, ଏଦ୍‌ GIG ତେର୍ତା "
 feel to say , Verb , କେଉା ଞେୟ୍‌ ତିତ୍‌ 
 feeling , Noun , ଆଲ୍‌ ପ୍‌ 
 feet , Noun ," ବାଲା କାଲ୍‌ କ୍‌, ଲାବାକ୍‌ କାଲ "
 feint , Verb ," ମିତୃକ୍‌ କାନାଦ୍‌, କାୱ୍‌ "
 fell , Verb , ଗୁଦାଡ଼କାଲଦିନ୍‌ 
 fell down , N/A , .4⁄/66/7 ମେଣ୍ଡାସି ରାଲ୍‌ 
 fell off , Verb , ଜାର୍ଗ୍‌ ଆସ୍‌ AR ତୋଣ୍ଡ 
 eases , N/A , ମାନ୍ଦାନାଦ୍‌ 
 female , Noun ," ନାଟା, ନାଟ୍ରା "
 female breast , Noun , ବମା 
 female calf , Noun , Ale! 
 females , Noun , ଡାଡା 
 fence , Noun , CARE] 
 ferocious animal , Adjective , ବାୟାମାଲାମ୍‌ ଜନ୍ତୁ 
 ferry man , Noun , ଅଡା ଡାଣସିତଣ୍ତ 
 fertile , Adjective , AIA ABI ବୂମ୍‌ 
 festival , Noun ," AG ନାଲ ,ସାର ସାରୀ "
 festival at the time of harvest , Noun , କୁର୍ମୀ ପାଣ୍ତୁମ୍‌ 
 festival of hunters , Noun , ଷ୍ଟେଣ୍ଟାପାଣ୍ଡୁମ୍‌ 
 festival of pea , Noun , ଶିକୁଡ଼୍‌ ପାଣ୍ତମ୍‌ 
 festive day , Adjective , ପାଣ୍ଡୁ ମ୍‌ ରୋଜ୍‌ 
 festoon , Noun ," ARQ ,ଆର୍ଦିନ୍‌ ମୁନ୍ନେ ସାଦ୍ରାନାଦ୍‌,ସୋକ୍‌ ମାଡ଼ାନାଦ୍‌ "
 fever , Noun , ଏତୂକ୍‌ 
 fever gets down , Verb , ଏଡ଼କୁ GAR ସାନାଦ୍‌ 
 feverish , Adjective , GAGIFIE 
 few , Noun ," କଦିଗ୍‌, ଚୁଡୁଟ୍'ଚିନ୍ନା MVR "
 GAR               , Noun             , ସାନାଦ୍‌                
 feverish          , Adjective        , .47766/7¿ ରେଙ୍ଗାନାଦ୍‌             
 few               , Adjective        ," QEO, 99S, OA ଦ୍‌, ଇଚୁଟ୍‌               "
 few               , Adjective        , I Q& କେ                   
 fibre made from Palmyra stalk , Noun , ହିଲାନାଦ୍‌ 
" fickle, loose     ", Adjective        , MQ mig ଫ୍ଲିକ୍କଲ୍‌          
 fiddle            , Noun             , @ AFA                     
 fie               , Interjection    ," ଛି, ସାୟା ଇଲ୍ଲେ               "
 fields ripe for harvest , Adjective , ଆୟ୍‌ ତା ଏଁଜା ତା gla  
 fiery furnace     , Adjective        ," G8, 9Q qa ନିର୍ଞୋମିନ୍ଦେ         "
 fifteen           , Noun             ," ପାଦିଏୟ୍‌ ଙ୍‌, ପାଦି ଏନ୍‌     "
 fifty             , Noun             ," ରେଣ୍ତୁ କୋଡି ଦାଶ୍‌, ଏବେୟ୍‌ "
 fig tree          , Noun             , ତୋୟା ମାଡ଼ା               
 fight             , Noun             , ୮୧୮. ଜାମ୍ଲା। ଗଢ଼ ଏ ମୁଣ୍ଡାୟ୍‌ କିୟାମୁନ୍ଦୋର୍‌ 
 fighting          , Verb             , ଭକ୍‌ କାନାଦ୍‌             
 file              , Noun             , QII¢]                    
" fill up, filled   ", Verb             ," 8 ତାର୍ରା, ନିଣ୍ଡି ମିନ୍ଦେ         "
 filly             , Noun             , ଡାଡା ଗାଡ଼୍‌ ତା ପିଲ୍‌ MI SIE] JAI ARN ଲା 
" filtration, distillation ", Noun , ଆାଞ୍ଜୋମିନ୍ଦେ             
 final             , Adjective        , AIBA                     
 finally           , Adverb           , ମାରେଙ୍ଗ୍‌                 
 find fault with   , Verb             , ତାପ୍‌ ପୁ aa ତାନାଦ୍‌        
 find out , Verb , ଦର୍କାନାଦ୍‌ 
 find , Transitive verb ," ମେକାନାଦ୍‌, ମେଙ୍ଗାନାଦ୍‌ "
 fine , Noun , ସାୟ୍‌ ମିନ୍ଦେ 
 fine flour , Noun , ମାୟ୍‌ ଦା ପିଣ୍ୃ 
 fine linen cloths , Noun , ରାଜାଲୋର୍‌ ଭର୍ଶାନାଦ୍‌ 
 fine money for defeated cock , Noun ," ଡାପ୍‌ କ୍‌ କାସାନାଦ୍‌, କାସିକା "
 finger , Noun , ଓଡ଼ଞା୍‌ 
 finger nail , Noun ," ଗୋରୁ, ଇଡୁଞ୍ଜ କ୍‌ "
 finished , Verb ," ତେଉାଁ, ଆକାରାତା "
 fire , Noun , @Q 
" fire fly, glow worm ", Noun , ମିଡ଼କସ୍‌ 
 fire wood , Noun ," କିସ୍‌ ମାସାନ୍‌ ଞେର୍‌, କି, କିସ୍‌ କୁଟ୍‌ "
 firm ,  ," ୮୮୮୮, ଟେଙ୍ଗ୍‌ "
 first , Noun , ମୁନ୍ନେ 
 firstly , Adverb ," OR AR,AY, AOR, AER "
 fish , Noun ," ୧୨୮୧/୮, କୀକେ, କୀକି "
 fish basket , Noun , MR କେ ବୁଟୁଲ୍‌ 
 fish catcher , Noun ," @16@ AA, ଦାନୋଣ୍ଟ, କୀରା "
 fish curry , Noun , କୀକେ କୁଚିର୍‌ 
 fishing rod , Noun , ଗାଲାମ୍‌ 
 fist of hand , Noun , JQ ପୟ୍‌ ଭା 
 fit , Adjective ," AD, IQ କ୍‌ "
" fits, convulsions ", Noun ," କୁନ୍ଦେଲ୍‌, 6GQ,S"" ଟାମ୍‌ "
 five , Noun , ଆୟ୍‌ ଦୁ 
 five hundred , Noun , ଏଇଙ୍ଗ-ଆୟ୍‌ ଦୁ 
 onda ,  ,  
 five rupee   , Verb           , ପାଞ୍ଚ ଟଙ୍କା    
 five[males]  , Numeral        , ପାଞ୍ଚ       
 -            , ଆଇଓୱିର      ,                 
 fix          , Verb           , ଠିକ୍ କରନ୍ତୁ    
 fixed rate   , Adjective      , ସ୍ଥିର ଦର      
 flat         , Adjective      , ଫ୍ଲାଟ         
 ସାୟ୍‌ ମୁନ୍‌ ମିନ୍ଦେ ,                ,                 
 flesh        , Noun           , ମାଂସ          
 flies        , Noun           , ଝିଅ           
 ବୁଙ୍କ୍‌ କେଇମିନ୍ଦେ   ,                ,                 
 float        , ୮୮୮୮ ଜିଓ ମାନ୍ଦା         , ତରଙ୍ଗ ଉଠାଇବା 
" ମେଦୁଲମିନ୍ଦେ,ଏର୍‌ ତା ଆଦାମ୍‌ ",                ,                 
 ଆନ୍‌ ଜ ମିନ୍ଦେ       ,                ,                 
 flood        , Noun           , ପ୍ରବାହ        
" flour,powder ", Noun           , ଅଟା           
 flow         , ୮୮୮୨. ପୋଙ୍ଗୋମିନ୍ଦେ        , ପ୍ରବାହ ହେବା   
 flower blossoms ` ⁄/. , Noun , ପୂର୍ବାର୍‌ 
" ପାରଲମିନ୍ଦେ,ପୃଙ୍ଗା ଇତା ",             ,                 
 flower in red colur , Noun , ମାଲଟି        
 ପୂଙ୍ଗାର୍‌           ,                ,                 
 flower tree , Noun           , ମାଧୁରୀ        
 flowerbed    , Noun           , ଫୁଲ ଖାଟା      
 flowering    , Adjective      , ଫୁଲ ଖିଳାନ୍ତୁ  
 flowing      , Noun           , ପ୍ରବାହ        
 flute        , Noun           , ବାଂସୀ        
 flute players , Noun          , ବାଂସୀ ବାଜାର   
 ଉଦାନୋର୍‌           ,                ,                 
 fly          , Verb           , ଉଡ଼ନ୍ତୁ       
 fly on goat a kind of worm , Noun , ମାକଡ଼ା ଝିଅ  
 fly with a fluttering-wing's , Verb , ଫେଙ୍ଚନ୍ତୁ 
" ଟାଟିସି,       ",                ,                 
 fly(insect)  , Noun           , ମଛର୍           
 foal foot    , Noun           , ହତ୍ତୁ ପାଦ      
" ସାମ୍ପା,ମାଡୁପ୍‌ ପା ", Noun ," ସାମ୍ପା, ମାଡୁପ "
 fold your hands(fits) , Verb , ହସ୍ତକ୍ଷେପ 
 ag ମ୍‌ , Noun , ଏଗ୍ 
" fold,heap ", Verb , ଫଳ୍ଡ 
" ଦୁରୁସିତୋମ୍‌,ଦିବା ଓାଟାନାଦ୍‌ ", Noun ," ଦୂରୁଷିତ, ଦିବା ଓାଟ "
 folding ` ୦୮ sarees , Adjective , ପିନିଗ 
 ପର୍କା AA ତାନାଦ୍‌ , Noun , ପାର୍କ 
 folding hands to rest , Verb , ଶାନ୍ତିରେ ହସ୍ତକ୍ଷେପ 
 ରି ମାଲ୍ଲା ପାଟିଭୋଣ୍ଡ , Noun , ଅନୁସରଣା 
 follow , Verb , ସବୁତି 
 fomentation , Noun , ଉଷ୍ଟି 
 କାନସାନାଦ୍‌ , Noun , ଆସକ୍ତି 
 fondness , Noun , ପ୍ରେମ 
 food , Noun , ଖାଦ୍ୟ 
 food become rotten , Adjective , ପୋସା 
 food to be charred , Verb , ବିଶୁଷ୍କ 
 foolish , Adjective , ମୂଢ଼ 
 foot , Noun , ପାଦ 
 foot print , Noun , ପାଦ ଛାପ 
 for , Preposition , ପାଇଁ 
 fora while , Verb , କିଛି ସମୟରେ 
 for ever , Noun , ସଦାକେଳି 
 for fathers , Noun , ପିତୃଗଣ 
 କାଲାମ୍‌ ତେ , Preposition , ତାଙ୍କ ଜାଣନ୍ତୁ 
 forme , Preposition , ମୋରିକୁ 
 for me only , Preposition , ମୋର ପାଇଁ 
 for one day only , Preposition , ଏକ ଦିନ ପାଇଁ 
 for some day , Preposition , କିଛି ଦିନରେ 
 for the sake of , Preposition , ସେଙ୍ଗେ 
 forbidden , Adjective , ଆଡ଼ାମ୍‌ ଆସି ମାନ୍ତା 
 force , Noun , ନାର୍ଗେ ପୋଲିଶିର୍‌ 
  , Verb , ବାସ୍‌ ମିଲ୍‌ ଲି ମାଡ଼ାନାଦ୍‌ 
 forcefully throwing , Noun , ଗାଟି ଉର୍‌ IE ଏଚ୍ଚିତର୍‌ 
 fore arm , Noun ," BQ କାୟ୍‌ , ଡାଣ୍ଡା "
 forefathers , Noun , ମୁନ୍‌ ନେଟୋର୍‌ 
 forehead , Noun , ନୁଦୁର୍‌ 
 foreigner , Noun , ପେରେ ଦେସାମ୍‌ 
 foreknow , Verb , ମୁନ୍‌ ନେ ପୁନ୍ଦାନାଦ୍‌ 
 forest , Noun , ଗାଗା Ag 
 forest honey , Noun , ଟାଟାଡ଼୍‌ 
 forever , Adverb ," ସାର୍ଦାମ୍‌ ,ବେଶ୍‌ କେ ବାରେ "
 forget , Verb , ମାରୁଙ୍ଗାନାଦ୍‌ 
 forgive , Adjective ," QUI, ମିଞ୍ଜା,ୱିଡ଼ୂପିଞ୍ଜା "
  , Verb , ଞଢ୍‌ ସିଦାନାଦ୍‌ 
 forgiveness , Noun , ପାପ୍‌ agaeiaig 
 forhead , Noun , dS ଗୁଡୁମ୍‌ 
 fork , Noun ," କୟ୍‌, ମାନ୍ଦାନ୍‌ AGE "
" formerly, ago ", Adverb , (62 @& 
 fortunately , Adverb , ଆଡୁଷ୍ଟାମ୍‌ ତେ 
 fortune , Noun , ମେଲ୍‌ ତା ଆଡୁଷ୍ଟାମ୍‌ 
 forty , Numeral , ନାଲପେୟ୍‌ 
 forward , Adverb , AGACIR AER ମାନ୍ଦାନାଦ୍‌ 
 foul tooth , Noun , ଜୁର୍‌ ଭା ପାଲ୍‌‌ 
 found , Verb , ପାଇଛି 
 foundation , Noun , ପାଣ୍ଡ ଞିସାମ୍‌ 
 foundation pillar , Noun , ଗାବା 
 ଗୁନ୍‌ ଜି ,  ,  
 fountain well , Noun , ଏଡ଼ମା 
 four-4 , Numeral , ନାଲୁ 
 fourteen , Numeral , ପାଦିନାଲୁ 
 fowl , Noun , କୋର୍‌ 
 foxvixen , Noun , ପୋତ୍‌ FIR କା 
 fracture , Noun , ବୁଲ୍‌ Al AFIGIQ 
 fragrance , Noun , ପୁଙ୍ଗାନ୍‌ ମେଲ୍‌ ତା ୱାସ୍ନାମ୍‌(ମେଲ୍‌ ତା ଗାବ୍‌) 
 frailty , Adjective , ମାନ୍ଦାନାଦ୍‌ 
 freedom , Noun ," ନିଜ ଇଷ୍ଟାମ୍‌ ତେ ମାନ୍ଦାନାଦ୍‌,ୱିଡ଼୍‌ ଦାଲ୍‌,ଗେଲ୍‌ ପ୍‌ "
 freely , Adverb , ଆଏ ଦର୍କାନାଦ୍‌ 
 freeze , Verb , ନେତୂର୍‌ ଗୂଡ଼ାନାଦ୍‌ 
 frequently , Adverb , ବେସୁଟ୍‌ ତାମ୍‌ 
 fresh , Noun ," କାସ୍‌ ତା,କତା,ପୂନାଦ୍‌,ପାଚିତ୍‌ "
 Friday , Noun , ଶୁକୁ ଓରାମ୍‌ 
 fried grain ,  , ପ୍ରିକି 
 friends , Noun , ସାଙ୍ଗୋତ୍ତୋର୍‌ 
 friendship , Noun ," ଜାଭା,ସାର୍କୋ "
 frightened , Verb , ଭୀତି ପାଇଁ 
 frog ,  ," ପାଣ୍ଡେ, ପାଣ୍ଡି "
 from day to day , Preposition , ରୋଜଙକ୍‌ ରୋଜ୍‌ 
 from me , Preposition ," ନାୟାଗା ନୁଞ୍ଚି,କୁଞ୍ଚି "
" from there,from house ", Preposition ," ଆଗ୍‌ AIR, CAR SIU "
 from up from the top ,  ,  
 Preposition ," ADAGE, from, from me ", ପ୍ରିପୋଜିଶନ 
 Adposition ," 98,9808 front ", ଅଡପୋଜିଶନ 
 frown , Verb , ମାନ୍ଦାନାଦ୍ଦ 
 fruit , Noun , ଫଳ 
 fruit bearing tree , Noun , ଫଳଦାନି 
 fruit juice , Noun , ଫଳରସ 
 gain , Verb , ଉପାର୍ଜନ କରିବା 
 gallbladder , Noun , ପିତ୍ତାସ୍ଥି 
 gambling , Noun , ଜୁଏତାଙ୍କ 
 gander , Noun , ହାଂସ 
 gangrene , Noun , ପ୍ରଳେପ 
 gap in a row of teeth with one or more lacking , Noun , ଏଡାମ୍ 
 garden , Noun , ବଗିଚା 
 garden bed , Noun , ଗଛାଗଡ଼ି 
 garden lizard , Noun , ବଘରିଆ ସପ 
 garden pea , Noun , ମଟର 
 gardener , Noun , ବଗିଚା ଦର୍ଶନୀ 
 gargle rinse , Verb , କଲା କରିବା 
 gargling , Noun , କଲା ହେଲା 
 garland , Noun , ମାଳା 
 fruit-stone , Noun , ପାଣିନ୍‌ ଟେକା 
 fry , Noun , ତଲ୍‌ କା AE ସାନାଦ୍‌ 
" frying pan,sauce fan ", Noun ," କଡ଼େଇ,କିଲା,କାଡ଼େଲ୍‌ "
 fulfillment , Noun ," ସୁମାର୍‌ ଆତ୍‌,ଆତା "
 full ," 47/୮୫ ନିଟ୍‌ ଟାତ୍‌ GIA ଗୁମ୍‌ କେ,କାଡ଼ କେ ",
 full hand shirt , Noun , ଡାଣ୍ଡା 
 full saree , Noun , @Q ଓାଟିତା 
 fullness , Noun ," $4,89 ମାନ୍ଦାନାଦ୍‌ "
 garlic , Noun ," କର୍‌ ଉଲି,ମାତ୍‌ ଭଲ୍‌ ପାୟା,ଞେଲ୍‌ ଉଲୁପାୟା "
 gas , Noun , ଗାଲ୍‌ 
 gas trouble , Noun ," @Q କା ପସ୍‌ ଆସ୍‌ ମାନ୍ଦାନାଦ୍‌-ଗୁଣ୍ଡି ଡେୱା. ମିନ୍ଦେ,ଦୋଡ଼ା ଆଗୁଁଣ୍ଟେ ମାନ୍ଦାନାଦ୍‌ "
 gastric , Adjective ," AGAR ତା,ଉବ୍ରାଙ୍ଗ୍‌ ମିନ୍ଦେ "
 gate , Noun , BAIR FER ମାନ୍ଦାନ୍‌ ଗୁମ୍ମାମ୍‌ 
 gatekeeper , Noun , ଗୁମ୍ମାମ୍‌ ତା ନିଲ୍‌ ସ୍‌ ମାଞ୍ଜ୍‌ AI ଉଡ଼ାନୋଣ୍ଡ 
 gaze , N/A , ୮୮୮୬. AIG କି ଉଡ଼ୋମିନ୍ଦେ 
 gecko , Noun , ଡକେ 
 genealogy , Noun , ଦାଦୋଡ଼୍‌ ପେପୀଡ଼୍‌ ଲୋତା ପେଦେର୍‌ 
 generally , Adverb ," ସାଦା ,ମାମୂଲ୍‌ "
 generation , Noun , @@ 
 genius , Noun , ମେଲ୍‌ ତା ବୁଦି 
 gentile , Adjective ," CID, GEIR "
 funeral ceremony , Noun , ଡଲ୍‌ ତା 
 accordingly , Adverb , ରୋଜ୍‌ ଞ୍ଚିଶ୍‌ Q EGIGIAIQ 
 furnace , Noun , କିଶ୍‌ କୁଣ୍ଡା 
 furniture , Noun , ଲୋତା ଇସେ ସାମାନ୍‌ 
 further more , Adverb , AGI ମେଣ୍ତେ 
 futile , Noun , ମେରେ ଆପୁନାମେ 
 future , Adjective , GI@IQ କାଲାମ୍‌ ନାରୁଶ୍ତ 
 gentle , Noun ," ମେଲ୍‌ ତା, ସାୟା GEIR "
 gentle breeze , Noun , ଆଲ୍‌ ଲାଙ୍ଗ୍‌ ଗାଲ୍‌ 
 gentle lady , Noun , ନେମ୍‌ ଲାଦ୍‌ ନାଟାଡ଼୍‌ 
 gentleman , Noun , ନେମ୍‌ MI ମାନୁଷୁଣ୍ଢ 
 genuine , Adjective ," ମେଲ୍‌ ତା, ସାୟ୍‌ "
 germinate , Noun ," ପୁପେ, ଲେନ୍ତା "
 get , Verb ," ଦରକିତାନ୍‌, ଏନାନାଦ୍‌ "
 get energy , Verb ," @q ମିନ୍ଦାନ, ଭସାର୍‌ "
 get ahead , Verb , ମୁନେ (62 ଆନ୍ଦାନାଦ୍‌ 
" get at, reach ", Verb , ଏୱ୍‌ ତାନାଦ୍‌ 
 get away , Verb , ମାଲ୍‌ ସି ଆନ୍ଦାନାଦ୍‌ 
 get caught , Verb , ଇର୍କି ମାଭା 
 get down , Verb , ଡିଗାନାଦ୍‌ 
 get in , Verb , ଲୋପାଲ୍‌ ଗେବମିନ୍ଦର୍‌ (ଗଡ଼୍‌) 
 get into , Verb ," ନେଙ୍ଗାନାଦ୍‌, ନିଗାନାଦ୍‌ "
 get loosened by itself , Verb , ଲେୟ୍‌ ମ୍‌ 
 get on , Verb ," ମେଲ୍‌ ତା, ସାୟ୍‌ ପାଡ଼ିୟ୍‌, ଆଦାନାଦ୍‌ "
 get out , Verb , ତୋଲାନାଦ୍‌ 
 get over , Verb , ଡାଣ୍ଟୀନାଦ୍‌ 
 get ready , Verb ," ତାଲା ଇଢ୍‌ ଶି ial, କାଦାଲିଏାରା "
 get stuck , Adjective , ଆଙ୍ଗମିନ୍ଦେ 
 get the goose flesh , Noun , ରୋମା ଚୁମ୍‌ ଆଭା 
" get to, reach ", Verb , ଏଓ୍‌ ତାନାଦ୍‌ 
 get together , Verb , ଗୂଡ଼ାନାଦ୍‌ 
 getup , Verb ," ଭଶ୍‌ BIE ତା କୁଞ୍ି, ତେଦାନାଦ୍‌ "
 ghastly , Adverb , ବାୟାମାଲାମ୍‌ ତେ 
" ghee, curd's ", Noun , ପାଲ୍‌ ନୀୟ୍‌ 
 gherkin , Noun , ଲେନ୍ତା ଦସ୍‌ କାୟା 
 ghost , Noun , ଭୂତ 
 giant , Noun , ରେକସ 
 giddy , Noun ," GIN AI IQ GQ, ଉଡ଼ାନାଦ୍‌ "
 gifts , Noun ," କୁସେଲ୍‌ ତେ ମେଲ୍‌ ତା, ସାମାନ୍‌ ଭଦାନାଦ୍‌ "
 ginger , Noun , ଆଲ୍‌ ଲାମ୍‌ 
 giraffe , Noun , ତୁମିର୍‌ ପିଡ଼କା 
 girl , Noun , ପିକିଡ଼୍‌ 
 girls , Noun , ପୀକି 
 girls sing song , Verb ," ପୀକି ପାଟା, ପାରିତା "
 give , Verb ," ଭମ୍‌, ଭଦାନାଦ୍‌ "
 give away , Verb , ଏଗ୍‌ ଦେଙ୍ଗା 
 give out , Verb , ଅଡି ଆଭାତ୍‌ ନିଜାମେ 
 Injo , Verb , ମାଡ଼ାନାଦ୍‌ 
 Kaam , Verb , ତୋପିସାନାଦ୍‌ 
 Give up , Verb , ପାଣି କର୍କେ ଛୋଡ଼ିବା 
 Sanada , Noun , GSAeialg 
 Gladden by touch , Verb , ପ୍‌ 
 Tanta-Ititaṇḍa , Noun , ପ୍ରତିଷ୍ଠା 
 Glamour , Noun , ଚମକ 
 Tullānāda , Noun , ଝିମିଆନାଦ୍‌ 
 Glance , Noun , ଝିମିଆନାଦ୍‌ 
 Uḍominda , Noun , କାଁଚ 
 Glass bottle , Noun , କାଁଚ ବାଟଲ 
 Pēṅka , Noun , ପେଣ୍କ 
" Glass, crystal ", Noun , କାଁଚ 
 Glittering , Adjective , ଜିମିଆନାଦ୍‌ 
 Mērsānada , Noun , ଗୋଧୂଳି 
 Gloaming , Noun , ଝିମିଆନାଦ୍‌ 
 Gloomy , Adjective , ଅସ୍ପଷ୍ଟ 
 Glory , Noun , ସୌନ୍ଦର୍ଯ 
" Glory, glorious, glorify ", Adjective , ସୌନ୍ଦର୍ଯ 
 Glutton , Noun , ଅନାହାରୀ 
 Gnashing of teeth , Verb , ଦାଁତ କରି ହାଂକିବା 
" Gnat, flea ", Noun , ଚିରି 
 Go , Verb , ଯାଇ 
 Go , Noun , ଯାତ୍ରା 
 Goa side , Verb , ଗୋଆ ପାର୍ଶ୍ଵ 
 Go after , Verb , ପାଇଁ ଯାଉଥିବା 
 Go as a side , Adverb , ପାର୍ଶ୍ଵରେ ଯାଇ 
 Go away , Verb , ଯାଇହୋକ 
 Goby , Verb , କୋଈ ମାଛ 
 Madanada , Verb , ମାଡ଼ାନାଦ୍‌ 
 go down , Verb ," ରେଟ୍‌ SIG ଓାଁ, କାମ୍‌ ଆଦାନାଦ୍‌ "
 go fast , Verb ," ଜାପେ, ଜାପେ ଆନୁଟୁ "
 goon ୮୮୮ , Noun , ନାଡ଼୍‌ ପିସାନାଦ୍‌ 
 go out , Verb , dQ ତାନାଦ୍‌ 
 go through , Verb , AI ଉଡ଼ାନାଦ୍‌ 
 go through the eye of needle , Verb , FR ଗାଡ଼ୂ AIR 
 goup ୮୮୮୮ , Noun ," ରେଟ୍‌ ଏକ୍‌ ଓା ଆଦାନାଦ୍, ପେର୍ଗି ଆନ୍ଦାନାଦ୍‌ "
 goat bleats , Noun , ମେକା କେଇତା 
 goblet , Noun , କପ୍‌ 
 God , Noun ," ପାରାମେଶର୍‌, ବାଗାଓୱା ନ୍‌ "
 Godavari river , Noun , ଗୋଦାର୍‌ 
 goddess , Noun , ଦେୱତା 
 goddess temple , Noun , ଗାମାମ୍‌ 
 godless , Adjective , AG F1QQ 
 godly , Adjective , GIF ତେ ମାନ୍ଦାନୋଣ୍ଡ 
 going , Noun ," ଦାୟାନାଦ୍‌, ଆନ୍ଦାନାଦ୍‌ "
 gold , Noun , ବାଙ୍ଗାରାମ୍‌ 
 golden eagle , Noun , de ଲା ପିଟି 
" golden oriole,mango bird ", Noun , ଓଁଙ୍କା Ale 
 goldsmith , Noun ," ସୋନେରି, ଗୋଲୁମ୍‌, ସାରାବ୍‌, କାଣ୍‌ ସାଲ୍‌ ଏଣ୍ଡ, ସୋନାରୀ "
 gone away , Verb , ଦେଙ୍ଗ ଆନ୍ଦାନାଦ୍‌ 
 gone , Adjective , ଦେଙ୍କ୍‌ ଆଭୋଣୁ 
 gong bell , Noun , al 
" good bye, fare well ", Interjection ," ଦାୟୁଟ୍‌, ଆଲେ ଆଞ୍ଜୋମିନ୍ଦାନ୍‌, ଦାୟ୍‌ ଦାୟ୍‌ "
 good fruit yielded , Adverb , ମେଲ୍‌ 
 ତା AIA ଆସ୍‌ ମାତା , , 
 good path , Adjective , ନାଲ୍ଲୋଡ଼ାଦ୍‌-ଆର୍‌ 
 ମେଲ୍‌ ତା ଆର୍‌ , , 
" good,nice ", Adjective ," AIR ଚି,ମେଲ୍‌ ତା,ନାଲ୍ଲା,ସାୟା "
 goose , Noun , AlEG ବାକ୍‌ 
 gospel , Noun , ମେଲ୍‌ ତା କାବୂର୍‌ 
 gossip , Verb , ଆପୁନାମେ ଗଟି ଞେଚାନାଦ୍‌ 
 got wet , Verb , ନାନ୍ଦିଆତା 
 gourd , Noun , ଗୁମଡ଼ କାୟା 
" government officer, worker ", Noun ," ପାଇକାଲ୍‌, ପାଡ଼ିୟ୍‌ ତୁଙ୍ଗାନୋର୍‌ "
 governor , Noun , ଅଡ଼ି ଶା ଲେକେ ଦେସାମ୍‌ ତିନ୍‌ ସାଲାକୀଦାନୋଣ୍ତ 
" grabbed,choke him ", Verb , ସାଟ୍‌ କେ ଗନ୍‌ କିନ୍‌ AA ସି ନୋକିତୋର୍‌ 
" gracious,grace ", Noun ," ସାୟାମ୍‌,ସାୟ୍‌ ଉଡ଼ାନାଦ୍‌ "
 gradual sinking , Verb , ଏାତି ଆନ୍‌ @ ମିନ୍ଦେ 
 gradually , Adverb , 6@Q ଜେୟ୍‌ ତାର୍ରାନଦ୍‌ 
 grains , Noun ," ଏନପେଣ୍ଟକ୍‌,ପେଡେକ୍‌, ଆଞ୍ଚିଏନ୍‌ କ୍‌ "
 grand children , Noun ," ନାଭି ,ମାନ୍‌ ମାୟାଡ୍‌ "
 grand daughter son's daughter , Noun ," ଏଲାଡ଼୍‌,ପେପିନ୍‌ ମାୟାଡ଼୍‌ "
" grand daughter,sons ", , 
 CAMM , Noun ," ମାଲ୍‌,ମାନ୍‌ ମାରାଲ୍‌ "
 FIG , Noun ," ମାଲ୍‌,ମାନ୍‌ ମାରାଲ୍‌ "
 grand daughters daughter , Noun , ମାନ୍‌ ମାୟାଡ଼ 
" grand father, father s father ", Noun , ଦାଦା 
" grand father, mother s father ", Noun , ତାତାଲ୍‌ 
" grand mother,(mother's mother) ", Noun , କାକ୍‌ କୋ 
 grand mother(fathers mother) , Noun , alal 
 grand son daughter's son , Noun , ମାନ୍‌ ମାଲ୍‌ 
 grand son son's son , Noun , ତାମୁଣ୍ଡ 
 grandeur , Noun , ଜିଗ୍‌ ଜାଗ୍‌ 
 grant , Noun , ସାରି ଇଞ୍ଜୋ ଅପ୍‌ 
 accordingly , Adverb , ଆଦିଙ୍କ୍‌ ଲେକେ 
